iter	Passed	Remaining
230	29249	97372
231	29357	97183
232	29500	97110
233	29639	97024
234	29764	96894
235	29900	96798
236	30044	96724
237	30169	96592
238	30307	96500
239	30428	96357
240	30550	96214
241	30696	96148
242	30818	96005
243	30961	95928
244	31066	95734
245	31205	95647
246	31324	95494
247	31449	95362
248	31603	95318
249	31730	95191
250	31861	95077
251	31995	94969
252	32131	94871
253	32265	94762
254	32388	94624
255	32529	94538
256	32648	94388
257	32766	94236
258	32870	94041
259	32988	93889
260	33123	93785
261	33259	93684
262	33379	93539
263	33518	93445
264	33639	93302
265	33771	93190
266	33897	93060
267	34017	92912
268	34135	92762
269	34250	92604
270	34369	92454
271	34515	92380
272	34635	92234
273	34775	92142
274	34902	92016
275	35034	91902
276	35164	91784
277	35294	91663
278	35431	91562
279	35560	91440
280	35687	91313
281	35810	91177
282	35934	91043
283	36058	90906
284	36188	90788
285	36314	90658
286	36425	90492
287	36551	90363
288	36681	90244
289	36803	90105
290	36937	89995
291	37065	89870
292	37203	89771
293	37315	89607
294	37434	89460
295	37551	89312
296	37687	89207
297	37805	89058
298	37936	88940
299	38057	88801
300	38185	88677
301	38302	88526
302	38434	88411
303	38564	88291
304	38694	88173
305	38826	88056
306	38960	87945
307	39088	87822
308	39181	87619
309	39309	87496
310	39418	87328
311	39548	87210
312	39703	87145
313	39845	87051
314	39988	86960
315	40135	86876
316	40281	86790
317	40443	86737
318	40579	86629
319	40698	86484
320	40825	86356
321	40965	86255
322	41090	86124
323	41220	86004
324	41337	85855
325	41447	85691
326	41578	85572
327	41707	85449
328	41827	85307
329	41932	85136
330	42063	85017
331	42189	84886
332	42329	84786
333	42471	84689
334	42584	84533
335	42700	84383
336	42825	84252
337	42949	84119
338	43076	83992
339	43198	83856
340	43328	83734
341	43477	83650
342	43617	83547
343	43754	83438
344	43870	83289
345	44013	83194
346	44146	83077
347	44308	83015
348	44455	82923
349	44598	82826
350	44717	82682
351	44851	82567
352	44983	82447
353	45110	82319
354	45237	82192
355	45359	82054
356	45497	81945
357	45651	81867
358	45758	81702
359	45876	81558
360	46017	81453
361	46143	81324
362	46245	81152
363	46399	81072
364	46539	80966
365	46725	80940
366	46861	80826
367	47005	80727
368	47157	80640
369	47295	80530
370	47421	80398
371	47566	80299
372	47701	80184
373	47841	80076
374	47960	79934
375	48115	79851
376	48261	79753
377	48383	79614
378	48514	79492
379	48662	79397
380	48783	79257
381	48913	79132
382	49050	79018
383	49177	78888
384	49319	78783
385	49428	78624
386	49544	78477
387	49692	78381
388	49834	78275
389	49963	78148
390	50102	78036
391	50232	77912
392	50325	77729
393	50444	77587
394	50546	77419
395	50697	77326
396	50827	77200
397	50941	77051
398	51082	76944
399	51202	76804
400	51329	76674
401	51463	76555
402	51596	76434
403	51745	76337
404	51895	76241
405	52024	76114
406	52169	76010
407	52322	75919
408	52458	75801
409	52616	75716
410	52765	75617
411	52897	75494
412	53044	75392
413	53179	75273
414	53311	75150
415	53453	75039
416	53579	74908
417	53686	74749
418	53827	74638
419	53951	74503
420	54077	74373
421	54207	74245
422	54322	74099
423	54454	73976
424	54553	73807
425	54678	73674
426	54802	73541
427	54912	73387
428	55057	73281
429	55176	73140
430	55311	73021
431	55452	72910
432	55576	72775
433	55690	72628
434	55821	72503
435	55954	72382
436	56092	72266
437	56231	72150
438	56353	72014
439	56498	71907
440	56632	71786
441	56755	71651
442	56875	71511
443	57004	71384
444	57131	71253
445	57271	71140
446	57418	71034
447	57579	70946
448	57727	70841
449	57864	70723
450	57987	70588
451	58120	70464
452	58245	70332
453	58380	70210
454	58531	70108
455	58666	69987
456	58784	69846
457	58881	69680
458	59036	69583
459	59182	69475
460	59310	69346
461	59453	69233
462	59606	69132
463	59719	68986
464	59869	68882
465	60021	68780
466	60160	68663
467	60297	68542
468	60428	68417
469	60554	68285
470	60695	68169
471	60804	68018
472	60921	67876
473	61067	67767
474	61208	67650
475	61338	67524
476	61473	67401
477	61607	67278
478	61748	67163
479	61862	67017
480	61993	66891
481	62112	66751
482	62243	66624
483	62379	66504
484	62490	66356
485	62610	66217
486	62740	66089
487	62878	65971
488	63022	65857
489	63160	65738
490	63277	65596
491	63415	65478
492	63526	65330
493	63653	65199
494	63795	65084
495	63905	64936
496	64046	64819
497	64193	64709
498	64327	64585
499	64465	64465
500	64606	64348
501	64731	64215
502	64870	64096
503	64983	63951
504	65100	63811
505	65239	63692
506	65366	63561
507	65483	63421
508	65584	63264
509	65711	63134
510	65903	63066
511	66051	62955
512	66184	62830
513	66318	62705
514	66445	62575
515	66596	62466
516	66732	62343
517	66867	62220
518	66972	62068
519	67093	61932
520	67234	61814
521	67356	61678
522	67492	61556
523	67623	61428
524	67748	61296
525	67872	61162
526	68023	61053
527	68125	60899
528	68249	60766
529	68386	60644
530	68508	60509
531	68632	60376
532	68770	60254
533	68893	60120
534	69033	60000
535	69156	59867
536	69283	59736
537	69390	59588
538	69537	59474
539	69664	59343
540	69787	59209
541	69914	59079
542	70034	58942
543	70165	58815
544	70299	58690
545	70423	58557
546	70626	58489
547	70759	58363
548	70904	58247
549	71036	58120
550	71175	57999
551	71296	57864
552	71410	57722
553	71520	57578
554	71634	57436
555	71768	57311
556	71903	57187
557	72032	57057
558	72191	56952
559	72323	56825
560	72448	56693
561	72559	56549
562	72709	56436
563	72845	56313
564	72967	56178
565	73108	56058
566	73233	55926
567	73366	55800
568	73475	55655
569	73593	55518
570	73722	55388
571	73864	55269
572	73990	55137
573	74120	55009
574	74237	54870
575	74362	54739
576	74496	54613
577	74625	54484
578	74766	54363
579	74896	54235
580	75013	54097
581	75125	53956
582	75250	53824
583	75387	53700
584	75514	53570
585	75625	53427
586	75724	53278
587	75811	53119
588	75933	52986
589	76065	52859
590	76192	52728
591	76335	52609
592	76471	52485
593	76616	52367
594	76732	52229
595	76858	52098
596	76977	51962
597	77097	51828
598	77193	51677
599	77306	51537
600	77436	51409
601	77574	51287
602	77696	51153
603	77836	51031
604	77940	50886
605	78084	50767
606	78233	50651
607	78358	50520
608	78504	50402
609	78620	50265
610	78740	50130
611	78871	50003
612	78975	49858
613	79115	49737
614	79220	49593
615	79357	49469
616	79486	49340
617	79599	49202
618	79726	49072
619	79847	48938
620	79964	48802
621	80078	48665
622	80216	48541
623	80321	48398
624	80461	48276
625	80599	48153
626	80746	48035
627	80872	47905
628	81006	47779
629	81125	47645
630	81250	47514
631	81384	47388
632	81503	47253
633	81625	47121
634	81755	46993
635	81881	46863
636	81993	46724
637	82128	46599
638	82221	46450
639	82364	46329
640	82484	46196
641	82620	46071
642	82773	45956
643	82904	45829
644	83028	45697
645	83161	45571
646	83297	45446
647	83425	45317
648	83535	45178
649	83686	45061
650	83824	44938
651	83950	44807
652	84072	44675
653	84201	44546
654	84319	44412
655	84421	44269
656	84547	44139
657	84686	44016
658	84808	43884
659	84938	43756
660	85066	43627
661	85191	43496
662	85329	43372
663	85441	43235
664	85594	43118
665	85730	42993
666	85855	42863
667	85983	42734
668	86109	42604
669	86229	42471
670	86369	42348
671	86508	42224
672	86620	42087
673	86755	41961
674	86897	41839
675	87030	41713
676	87177	41592
677	87338	41479
678	87445	41340
679	87593	41220
680	87711	41086
681	87848	40961
682	87981	40834
683	88088	40695
684	88199	40559
685	88371	40450
686	88493	40318
687	88632	40193
688	88766	40067
689	88899	39940
690	89023	39809
691	89144	39676
692	89290	39555
693	89431	39432
694	89552	39299
695	89695	39177
696	89834	39052
697	89972	38928
698	90101	38799
699	90225	38667
700	90351	38537
701	90487	38411
702	90594	38274
703	90727	38146
704	90853	38016
705	90984	37888
706	91134	37768
707	91272	37643
708	91409	37518
709	91526	37384
710	91655	37255
711	91787	37127
712	91918	36999
713	92079	36883
714	92215	36757
715	92321	36619
716	92461	36494
717	92593	36366
718	92722	36237
719	92858	36111
720	92980	35980
721	93124	35856
722	93242	35723
723	93373	35595
724	93491	35462
725	93593	35323
726	93742	35201
727	93880	35076
728	94020	34951
729	94148	34822
730	94273	34691
731	94422	34569
732	94563	34445
733	94664	34306
734	94795	34177
735	94917	34046
736	95048	33918
737	95204	33798
738	95332	33669
739	95454	33537
740	95573	33405
741	95701	33276
742	95837	33149
743	95952	33015
744	96077	32885
745	96206	32756
746	96345	32631
747	96454	32495
748	96587	32367
749	96716	32238
750	96830	32105
751	96953	31973
752	97076	31843
753	97207	31714
754	97346	31589
755	97447	31451
756	97575	31322
757	97724	31199
758	97841	31066
759	97957	30934
760	98081	30803
761	98209	30674
762	98354	30550
763	98483	30421
764	98620	30295
765	98737	30162
766	98850	30028
767	98992	29904
768	99122	29775
769	99258	29648
770	99397	29522
771	99507	29388
772	99633	29258
773	99752	29126
774	99870	28994
775	99966	28856
776	100099	28728
777	100245	28604
778	100383	28478
779	100534	28355
780	100672	28229
781	100793	28098
782	100933	27972
783	101062	27843
784	101185	27713
785	101327	27587
786	101436	27453
787	101592	27331
788	101711	27200
789	101845	27072
790	101987	26947
791	102119	26819
792	102236	26687
793	102349	26554
794	102489	26428
795	102648	26306
796	102780	26178
797	102904	26048
798	103040	25921
799	103180	25795
800	103333	25672
801	103472	25545
802	103633	25424
803	103777	25298
804	103928	25175
805	104055	25045
806	104187	24917
807	104330	24791
808	104482	24667
809	104671	24552
810	104808	24425
811	104944	24297
812	105104	24175
813	105240	24047
814	105405	23926
815	105555	23801
816	105793	23696
817	105931	23569
818	106077	23443
819	106214	23315
820	106360	23189
821	106506	23063
822	106661	22939
823	106799	22811
824	106933	22682
825	107108	22562
826	107249	22435
827	107411	22312
828	107555	22185
829	107677	22054
830	107834	21930
831	107960	21799
832	108057	21663
833	108212	21538
834	108589	21457
835	108835	21350
836	109053	21237
837	109203	21110
838	109341	20982
839	109483	20853
840	109615	20723
841	109729	20590
842	109873	20462
843	109963	20325
844	110119	20199
845	110270	20072
846	110387	19940
847	110509	19808
848	110623	19675
849	110756	19545
850	110881	19413
851	111045	19289
852	111169	19158
853	111297	19027
854	111442	18899
855	111557	18766
856	111679	18634
857	111801	18503
858	111960	18377
859	112086	18246
860	112209	18115
861	112336	17984
862	112425	17847
863	112582	17721
864	112752	17597
865	112901	17469
866	113062	17344
867	113202	17215
868	113335	17085
869	113507	16960
870	113698	16839
871	113868	16714
872	114075	16595
873	114241	16469
874	114423	16346
875	114564	16216
876	114735	16091
877	114924	15968
878	115136	15849
879	115304	15723
880	115559	15609
881	115742	15484
882	115902	15357
883	116053	15228
884	116240	15104
885	116397	14976
886	116541	14846
887	116733	14723
888	116898	14595
889	117018	14462
890	117132	14329
891	117276	14199
892	117409	14068
893	117555	13938
894	117726	13811
895	117872	13681
896	118027	13552
897	118151	13420
898	118361	13297
899	118543	13171
900	118688	13041
901	118831	12910
902	118969	12779
903	119176	12655
904	119348	12528
905	119531	12401
906	119700	12273
907	119848	12143
908	120000	12013
909	120145	11882
910	120293	11752
911	120466	11623
912	120620	11493
913	120747	11361
914	120875	11228
915	121015	11097
916	121159	10966
917	121312	10836
918	121470	10706
919	121615	10575
920	121773	10445
921	121907	10313
922	122045	10181
923	122163	10048
924	122301	9916
925	122444	9784
926	122751	9666
927	122917	9536
928	123065	9405
929	123201	9273
930	123471	9150
931	123667	9022
932	123900	8897
933	124128	8771
934	124272	8639
935	124417	8507
936	124531	8372
937	124710	8243
938	124870	8111
939	124997	7978
940	125140	7846
941	125279	7713
942	125404	7580
943	125548	7447
944	125688	7315
945	125806	7181
946	125925	7047
947	126027	6912
948	126168	6780
949	126299	6647
950	126420	6513
951	126554	6380
952	126708	6248
953	126855	6116
954	127002	5984
955	127138	5851
956	127246	5717
957	127381	5584
958	127521	5451
959	127640	5318
960	127854	5188
961	127983	5055
962	128098	4921
963	128228	4788
964	128350	4655
965	128467	4521
966	128586	4388
967	128693	4254
968	128814	4120
969	128959	3988
970	129073	3854
971	129179	3721
972	129309	3588
973	129426	3454
974	129565	3322
975	129693	3189
976	129824	3056
977	129962	2923
978	130086	2790
979	130220	2657
980	130340	2524
981	130466	2391
982	130591	2258
983	130727	2125
984	130861	1992
985	131013	1860
986	131145	1727
987	131299	1594
988	131443	1461
989	131598	1329
990	131738	1196
991	131881	1063
992	132044	930
993	132182	797
994	132301	664
995	132438	531
996	132575	398
997	132729	265
998	132882	133
999	133018	0
